Price,Close,High,Low,Open,Volume
Ticker,^IRX,^IRX,^IRX,^IRX,^IRX
Date,,,,,
2024-09-16,4.545000076293945,4.75,4.543000221252441,4.7230000495910645,0
2024-09-23,4.48199987411499,4.547999858856201,4.458000183105469,4.545000076293945,0
2024-09-30,4.505000114440918,4.507999897003174,4.440000057220459,4.48199987411499,0
2024-10-07,4.514999866485596,4.534999847412109,4.489999771118164,4.5,0
2024-10-14,4.513000011444092,4.521999835968018,4.498000144958496,4.51800012588501,0
2024-10-21,4.510000228881836,4.51800012588501,4.478000164031982,4.513000011444092,0
2024-10-28,4.400000095367432,4.507999897003174,4.39300012588501,4.502999782562256,0
2024-11-04,4.422999858856201,4.434999942779541,4.385000228881836,4.394999980926514,0
2024-11-11,4.39300012588501,4.425000190734863,4.377999782562256,4.414999961853027,0
2024-11-18,4.414999961853027,4.420000076293945,4.39300012588501,4.394999980926514,0
2024-11-25,4.373000144958496,4.413000106811523,4.368000030517578,4.413000106811523,0
2024-12-02,4.295000076293945,4.396999835968018,4.295000076293945,4.375,0
2024-12-09,4.2179999351501465,4.297999858856201,4.2179999351501465,4.289999961853027,0
2024-12-16,4.215000152587891,4.243000030517578,4.2129998207092285,4.215000152587891,0
2024-12-23,4.177999973297119,4.224999904632568,4.150000095367432,4.2179999351501465,0
2024-12-30,4.192999839782715,4.2179999351501465,4.15500020980835,4.177999973297119,0
2025-01-06,4.2129998207092285,4.2129998207092285,4.184999942779541,4.188000202178955,0
2025-01-13,4.192999839782715,4.2230000495910645,4.179999828338623,4.2179999351501465,0
2025-01-20,4.204999923706055,4.215000152587891,4.190000057220459,4.190000057220459,0
2025-01-27,4.188000202178955,4.199999809265137,4.172999858856201,4.197000026702881,0
2025-02-03,4.228000164031982,4.228000164031982,4.188000202178955,4.188000202178955,0
2025-02-10,4.2129998207092285,4.235000133514404,4.203000068664551,4.224999904632568,0
2025-02-17,4.197000026702881,4.2230000495910645,4.197000026702881,4.2129998207092285,0
2025-02-24,4.192999839782715,4.203000068664551,4.179999828338623,4.199999809265137,0
2025-03-03,4.197000026702881,4.208000183105469,4.179999828338623,4.188000202178955,0
2025-03-10,4.188000202178955,4.208000183105469,4.184999942779541,4.192999839782715,0
